"PERSON_ID","PERNAME1","PERNAME2","SEX","DOB_DAY","DOB_MON","DOB_YEAR","ENUMCAP","ENUMPC","CIS_ID"
"SW122AE042002","CHARLOTTE","DAVIS","F",1,4,,"42 VICTORIA ROAD","SW122AE","CISSW122AE042002"
"SW75TQ001001","T","GBEEN","M",1,4,,"1 HIGHFIELD ROAD","SW75TQ","CISSW75TQ001001"
"SO960ZZ038004","LEXIE","MARSHALL","F",4,4,,"37 WOODLANDS ROAD","SO960ZZ","CISSO960ZZ038004"
"SW461TX008001","SIENNA","EVANS","F",4,4,,"","SW461TX","CISSW461TX008001"
"DE237GG025002","IMOGEW","DAVIS","F",6,4,,"25 WOODLANDS ROAD","DE237GG","CISDE237GG025002"
"SO310HE010001","SETH","ALLEN","M",7,4,,"110 VICTORIA ROAD","SO310HE","CISSO310HE010001"
"EX306WU004003","NOAH","GREEN","M",9,4,,"4 GREEN LANE","EX306WU","CISEX306WU004003"
"PO466DU011004","MOHAMMED","BUTLEA","M",9,4,,"111 ALEXANDRA ROAD","PO466DU","CISPO466DU011004"
"SW93NF006003","OLIVIA","MARTIN","F",11,4,,"6 GROVE ROAD","SW93NF","CISSW93NF006003"
"RG52TB011001","MORGAN","JONES","M",12,4,,"11 PARK ROAD","RG52TB","CISRG52TB011001"
"HR804ZH012001","LEAH","EUANS","F",13,4,,"112 VICTORIA STREET","HR804ZH","CISHR804ZH012001"
"M192EP030001","KAI","DAVIS","M",13,4,,"30 ALEXANDRA ROAD","M192EP","CISM192EP030001"
"DE456EZ015003","EVE","GOGGINS","F",15,4,,"115 KINGS ROAD","DE456EZ","CISDE456EZ015003"
"M506PT014004","SOPHIE","RUSSELL","F",15,4,,"14 QUEENS ROAD","M506PT","CISM506PT014004"
"PO872DN072001","TOM","POWELL","M",15,4,,"72 WOODLANDS ROAD","PO872DN","CISPO872DN072001"
"LS433YR019007","LAURA","BUTLER","F",18,4,,"","","CISLS433YR019007"
"LS837BT041002","ELEANOR","MURRAY","F",18,4,,"41 FOREST ROAD","LS837BT","CISLS837BT041002"
"NW481EP025001","JRCOB","HRRVEY","M",18,4,,"25 YORK ROAD","NW481EP","CISNW481EP025001"
"SO751EG011004","M","AUSSELL","F",19,4,,"11 WARWICK ROAD","SO751EG","CISSO751EG011004"
"SW461TX002001","SAM","WATSON","M",19,4,,"2 YORK ROAD","SW461TX","CISSW461TX002001"
"DE125LU022001","DAMIEL","HILLER","M",21,4,,"22 PARK LANE","DE125LU","CISDE125LU022001"
"M682HW030001","MAX","REID","M",23,4,,"30 MAIN ROAD","M682HW","CISM682HW030001"
"LS867AR035003","AVA","COOPER","F",26,4,,"35 SPRINGFIELD ROAD","LS867AR","CISLS867AR035003"
"SW433XU055003","SAM","JAMES","M",26,4,,"","SW433XU","CISSW433XU055003"
"NW338ZE039001","ISABELLA","DAVIES","F",27,4,,"39 PARK ROAD","NW338ZE","CISNW338ZE039001"
"NW967BY017001","RILEY","WOOD","M",30,4,,"19 THE GREEN","NW967BY","CISNW967BY017001"
"SO145ND014002","HANNAH","LLOYD","F",30,4,,"114 ALEXANDRA ROAD","SO145ND","CISSO145ND014002"
"M432ZZ057001","YUSUF","GREEN","M",31,4,,"57 CHURCH ROAD","M432ZZ","CISM432ZZ057001"
"EX909LT020004","AABON","NUBPHY","M",,5,,"20 STATION ROAD","EX909LT","CISEX909LT020004"
"PO827EN027003","","HARRIS","F",,5,,"27 CLARENCE ROAD","PO827EN","CISPO827EN027003"
"EX237PQ002003","LUCY","BENNETT","F",2,5,,"2 GRANGE ROAD","EX237PQ","CISEX237PQ002003"
"M192EN005002","RUBY","ROBERTS","F",2,5,,"5 ALEXANDRA ROAD","M192EN","CISM192EN005002"
"RG764YU101002","","JENHINSON","F",2,5,,"101 ALBERT ROAD","RG764YU","CISRG764YU101002"
"DE732EQ042001","EMILY","YOUNG","F",4,5,,"42 CROMWELL ROAD","DE732EQ","CISDE732EQ042001"
"SW988AF021002","AMBER","PATEL","F",4,5,,"21 PARK ROAD","SW988AF","CISSW988AF021002"
"RG172XH005004","ETHAW","CHAPMAW","M",5,5,,"5 NORTH STREET","RG172XH","CISRG172XH005004"
"HR280TE008001","PATRYK","GRAY","M",7,5,,"8 PARK ROAD","HR280TE","CISHR280TE008001"
"EX264WW044001","SEBASTIAN","WIIKINSON","M",8,5,,"44 MARLBOROUGH ROAD","","CISEX264WW044001"
"SW122AD039002","ADAM","DAVIS","M",9,5,,"37 VICTORIA ROAD","SW122AD","CISSW122AD039002"
"PO200HG070002","HOLLIE","MRRSHRLL","F",10,5,,"70 ALBERT ROAD","PO200HG","CISPO200HG070002"
"PO465YE021004","T","RLLEN","F",15,5,,"211 GREEN LANE","PO465YE","CISPO465YE021004"
"EX264WU012002","DARCIE","ROGERS","F",16,5,,"12 MARLBOROUGH ROAD","EX264WU","CISEX264WU012002"
"PO61NQ069002","GBACE","WBIGHT","",19,5,,"69 STATION ROAD","PO61NQ","CISPO61NQ069002"
"SW332TG050003","RACHEL","MORRISON","F",22,5,,"50 ALEXANDRA ROAD","SW332TG","CISSW332TG050003"
"SW332TG051001","N","CARTER","F",23,5,,"51 ALEXANDRA ROAD","SW332TG","CISSW332TG051001"
"PO94YH013002","EVE","HILL","F",24,5,,"13 PARK AVENUE","PO94YH","CISPO94YH013002"
"SO473WT027003","JACH","COOH","M",24,5,,"27 MANOR ROAD","SO473WT","CISSO473WT027003"
"SW293NG047002","ISABELLE","HUNT","F",24,5,,"49 MARLBOROUGH ROAD","SW293NG","CISSW293NG047002"
"SW937XN021002","EMMA","ROGERS","F",24,5,,"21 WOODLANDS ROAD","SW937XN","CISSW937XN021002"
"RG546PY017008","LIAM","ANDERSON","M",28,5,,"17 NEW ROAD","RG546PY","CISRG546PY017008"
"LS480EL007001","HENRY","OWEN","M",29,5,,"9 VICTORIA ROAD","LS480EL","CISLS480EL007001"
"EX86QR011003","RAPHAEC","BUTCER","M",30,5,,"111 KINGS ROAD","EX86QR","CISEX86QR011003"
"RG369QF037001","L","MILLS","M",,6,,"37 FOREST ROAD","RG369QF","CISRG369QF037001"
"SW318HA007001","","EDWARDS","F",1,6,,"7 WARWICK ROAD","SW318HA","CISSW318HA007001"
"RG602JA023001","MOHAMMAD","MARTIN","M",2,6,,"23 LONDON ROAD","RG602JA","CISRG602JA023001"
"HR39YU007001","G","EVAWS","F",3,6,,"7 KING STREET","HR39YU","CISHR39YU007001"
"LS451GQ066001","","WALHER","M",4,6,,"66 WOODLANDS ROAD","LS451GG","CISLS451GQ066001"
"PO101JL004002","CYDIA","HARRIS","F",6,6,,"4 WEST STREET","PO101JL","CISPO101JL004002"
"SO147PE081001","DYLAN","GIBSON","M",10,6,,"81 CLARENCE ROAD","SO147PE","CISSO147PE081001"
"SW359AW018001","ADAM","COOPEB","M",10,6,,"18 ST. JOHNS ROAD","SW359AW","CISSW359AW018001"
"PO872DJ035002","HARVEY","DAVIS","M",13,6,,"35 WOODLANDS ROAD","PO872DJ","CISPO872DJ035002"
"RG52TB008001","ALICIA","HUGHES","F",14,6,,"8 PARK ROAD","RG52TB","CISRG52TB008001"
"EX86QR012001","ARCHIE","NASON","M",18,6,,"12 KINGS ROAD","EX86QR","CISEX86QR012001"
"NW277BX077004","DALSY","TURNER","F",21,6,,"77 GRANGE ROAD","NW277BX","CISNW277BX077004"
"HR481NB022002","MEGAN","LLOYD","F",22,6,,"22 MANOR ROAD","HR481NB","CISHR481NB022002"
"SW844YX070001","GBACE","WALKEB","F",24,6,,"70 STATION ROAD","SW844YX","CISSW844YX070001"
"EX982LX017001","P","WICSON","F",26,6,,"","EX982LX","CISEX982LX017001"
"NW375EA006003","ARIGAIL","THOMAS","F",27,6,,"6 PARK AVENUE","NW375EA","CISNW375EA006003"
"SO527SQ018001","SAM","MARTIN","M",28,6,,"18 MAIN ROAD","SO527SQ","CISSO527SQ018001"
"NW277BX081007","ETHAN","FISHER","M",,7,,"81 GRANGE ROAD","NW277BX","CISNW277BX081007"
"SO761QY012001","","KNIGHT","M",,7,,"12 ST. JOHNS ROAD","SO761QY","CISSO761QY012001"
"SW199QY004002","MARY","TAYLOR","F",,7,,"","SW199QY","CISSW199QY004002"
"EX423JW037002","SPENCER","BELL","M",3,7,,"","EX423JW","CISEX423JW037002"
"PO536XN029001","TOM","TURNER","M",3,7,,"27 YORK ROAD","PO536XN","CISPO536XN029001"
"NW817TL039006","DANIEL","WILKINSON","M",4,7,,"39 KINGS ROAD","NW817TL","CISNW817TL039006"
"DE256NG040002","CHLOE","WILSOM","F",5,7,,"40 SPRINGFIELD ROAD","DE256NG","CISDE256NG040002"
"SO310HF039001","ARCHIE","BUTLER","",6,7,,"39 VICTORIA ROAD","SO310HF","CISSO310HF039001"
"DE159QY035002","AVA","KING","F",7,7,,"35 CHURCH ROAD","DE159QY","CISDE159QY035002"
"NW908RS030001","LAUREN","ANDERSON","F",7,7,,"30 SPRINGFIELD ROAD","NW908RS","CISNW908RS030001"
"DE440RX003003","JACOB","YOUNG","M",8,7,,"3 GREEN LANE","DE440RX","CISDE440RX003003"
"M816NP010006","HOPE","JACKSON","F",10,7,,"10 BROADWAY","M816NP","CISM816NP010006"
"SW75TT082002","ISARELLA","EVANS","F",11,7,,"82 HIGHFIELD ROAD","SW75TT","CISSW75TT082002"
"RG497ZQ006001","JORDAN","TAYLOR","M",12,7,,"6 ALEXANDRA ROAD","RG497ZQ","CISRG497ZQ006001"
"PO354DD021002","GEMMA","CLARK","F",13,7,,"21 THE GREEN","PO354DD","CISPO354DD021002"
"DE502GJ005001","MOHAMED","STEWART","M",14,7,,"5 HIGH STREET","DE502GJ","CISDE502GJ005001"
"DE712NW078002","SCARLETT","BELL","F",16,7,,"78 QUEENS ROAD","DE712NW","CISDE712NW078002"
"SO147PA018001","BOBBY","LEE","M",16,7,,"18 CLARENCE ROAD","SO147DA","CISSO147PA018001"
"SW433XU039002","SVHHEA","HAATIN","F",17,7,,"39 STANLEY ROAD","SW433XU","CISSW433XU039002"
"HR496RG009002","NICOLE","WRIGHT","F",20,7,,"9 QUEENS ROAD","HR496RG","CISHR496RG009002"
"M560SA032001","LEXI","ANDERSON","F",21,7,,"32 ALBERT ROAD","M560SA","CISM560SA032001"
"LS189AP006003","ANNE","CAMPBELL","F",23,7,,"6 SOUTH STREET","LS189AP","CISLS189AP006003"
"SW844YY101001","BEN","WILKINSON","M",24,7,,"101 STATION ROAD","SW844YY","CISSW844YY101001"
"SO761QY009001","JENNIPER","JOHNSON","F",27,7,,"9 ST. JOHNS ROAD","SO761QY","CISSO761QY009001"
"DE422HE024007","MARTHA","MARTIN","F",28,7,,"24 MARLBOROUGH ROAD","DE422HE","CISDE422HE024007"
"LS472UJ018003","NATALIA","WILSON","F",29,7,,"18 KINGSWAY","LS472UJ","CISLS472UJ018003"
"DE237GH050001","JAY","ROGERS","M",31,7,,"50 WOODLANDS ROAD","DE237QH","CISDE237GH050001"
"SW293NH060009","JASMINE","KING","F",,8,,"60 MARLBOROUGH ROAD","SW293NH","CISSW293NH060009"
"PO827EQ078001","CHELSEA","DARKER","F",2,8,,"78 CLARENCE ROAD","PO827EQ","CISPO827EQ078001"
"LS433YR015003","TOM","WOOD","",3,8,,"15 PARK AVENUE","LS433YR","CISLS433YR015003"
"NW852NZ006003","MARIA","LLOYD","F",5,8,,"","NW852NZ","CISNW852NZ006003"
"PO891LD017002","AMYA","ROGERS","F",10,8,,"17 QUEEN STREET","PO891JD","CISPO891LD017002"
"SW332TE009007","TOBY","CHAPMAN","M",10,8,,"9 ALEXANDRA ROAD","SW332TE","CISSW332TE009007"
"PO61NP039001","GEORGE","YOUNG","M",13,8,,"39 STATION ROAD","PO61NB","CISPO61NP039001"
"LS52JX017001","JOE","SHAW","M",14,8,,"17 CHAPEL STREET","LS52JX","CISLS52JX017001"
"NW338ZE049001","OLIVEB","GBAHAM","M",14,8,,"49 PARK ROAD","NW338ZE","CISNW338ZE049001"
"LS74DL008001","MOHAMMAD","WILKINSON","M",16,8,,"8 KINGS ROAD","LS74DL","CISLS74DL008001"
"EX898TX004002","CHARLOTTE","JONES","F",19,8,,"4 YORK ROAD","EX898TX","CISEX898TX004002"
"PO827EL002002","LILY","KELLY","F",20,8,,"2 CLARENCE ROAD","PO827EL","CISPO827EL002002"
"SW207UU072002","PHOEBE","LEE","F",20,8,,"72 CLARENCE ROAD","SW207UU","CISSW207UU072002"
"HR529LL023001","LRUREN","NORGRN","F",21,8,,"23 CHURCH LANE","HR529LL","CISHR529LL023001"
"NW76WP011002","MUHAMMAD","STEVENSON","M",21,8,,"111 CHURCH STREET","NW76WB","CISNW76WP011002"
"RG602JA024001","MASON","CKAPMAN","M",23,8,,"24 LONDON ROAD","RG602JA","CISRG602JA024001"
"HR90PU036002","EMIIY","CIARK","F",27,8,,"36 YORK ROAD","HR90PU","CISHR90PU036002"
"LS837BS010002","BETH","MARSHALL","F",27,8,,"10 FOREST ROAD","LS837BS","CISLS837BS010002"
"NW290ZU005005","JESS","FOSTER","F",27,8,,"5 STANLEY ROAD","NW290ZU","CISNW290ZU005005"
"NW290ZU011003","JIM","MOORE","M",27,8,,"11 STANLEY ROAD","NW290ZU","CISNW290ZU011003"
"PO250WH048002","JESS","GIBSON","F",27,8,,"48 SPRINGFIELD ROAD","PO250WH","CISPO250WH048002"
"NW441RT004002","OSCAR","JEMKIMSOM","M",29,8,,"4 SOUTH STREET","NW441RT","CISNW441RT004002"
"SW122AF068003","HAVVIET","PATEL","F",29,8,,"68 VICTORIA ROAD","SW122AF","CISSW122AF068003"
"HR39YU016001","JACOB","MARTIN","M",3,9,,"16 KING STREET","HR39YU","CISHR39YU016001"
"PO872DN067001","GRACE","HALL","F",4,9,,"67 WOODLANDS ROAD","PO872DN","CISPO872DN067001"
"DE159QA074002","R","HILL","M",6,9,,"74 CHURCH ROAD","DE159QA","CISDE159QA074002"
"NW68LX045001","JAKE","GRIFFITH","M",7,9,,"45 CLARENCE ROAD","NW68JX","CISNW68LX045001"
"LS220HX008002","HOLLY","HARRIS","F",8,9,,"8 QUEEN STREET","LS220HX","CISLS220HX008002"
"RG52TB015005","EVE","GRAHAM","F",8,9,,"15 PARK ROAD","RG52TB","CISRG52TB015005"
"M432ZZ054003","DALSY","WOOD","",10,9,,"54 CHURCH ROAD","M432ZZ","CISM432ZZ054003"
"EX264WW038001","POPPY","MASON","F",11,9,,"37 MARLBOROUGH ROAD","EX264WW","CISEX264WW038001"
"HR559UG016002","H","KING","F",11,9,,"16 STATION ROAD","HR559UG","CISHR559UG016002"
"SO751EH033004","DANIEL","WILSON","M",12,9,,"33 WARWICK ROAD","SO751EH","CISSO751EH033004"
"EX341WT004001","A","CREEN","M",14,9,,"4 PARK ROAD","EX341WT","CISEX341WT004001"
"LS849ZL020002","VUBY","WILKINSON","F",14,9,,"20 GROVE ROAD","LS849ZL","CISLS849ZL020002"
"M77EQ001001","PETER","MURPHY","M",16,9,,"1 WEST STREET","M77EQ","CISM77EQ001001"
"M80NW020003","DANIEL","COLLINS","M",16,9,,"20 VICTORIA ROAD","M80NW","CISM80NW020003"
"SW844YY087001","OWEN","MILLS","M",18,9,,"87 STATION ROAD","SW844YY","CISSW844YY087001"
"EX264WU014005","GRACE","JACKSON","F",19,9,,"14 MARLBOROUGH ROAD","EX264WU","CISEX264WU014005"
"PO163JJ048002","FELIX","JENKINSON","M",19,9,,"48 WINDSOR ROAD","PO163JJ","CISPO163JJ048002"
"SO145NE022001","H","RUSSELL","M",19,9,,"22 ALEXANDRA ROAD","SO145NE","CISSO145NE022001"
"SW500HW010001","RILEY","WRIGHT","M",19,9,,"10 NEW ROAD","SW500HW","CISSW500HW010001"
"SW75TS057001","JOSH","BAKER","M",22,9,,"57 HIGHFIELD ROAD","SW75TS","CISSW75TS057001"
"NW908RS039001","E","LLVYD","F",23,9,,"39 SPRINGFIELD ROAD","NW908RS","CISNW908RS039001"
"PO200HG047001","CHARLOTTE","BARNES","F",23,9,,"47 ALBERT ROAD","PO200HG","CISPO200HG047001"
"SO879UN017005","ADAH","KELLY","M",25,9,,"17 KINGSWAY","SO879UN","CISSO879UN017005"
"HR459GE007002","","HALL","F",26,9,,"7 WOODLANDS ROAD","HR459GE","CISHR459GE007002"
"LS189AP006002","KIAN","CAMPBELL","M",26,9,,"6 SOUTH STREET","LS189AP","CISLS189AP006002"
"SW844YU043007","REEOE","PRIOE","",29,9,,"43 STATION ROAD","SW844YU","CISSW844YU043007"
"HR346EJ019001","JAGH","GIBSON","M",,10,,"19 KINGSWAY","HR346EJ","CISHR346EJ019001"
"RG830GA042003","LHRISTIAN","REID","M",2,10,,"42 SPRINGFIELD ROAD","RG830GA","CISRG830GA042003"
"SW465QQ006002","CHARLOTTE","BROWN","F",3,10,,"6 SOUTH STREET","SW465QQ","CISSW465QQ006002"
"SW946ZF058004","RUBY","RICHARDS","F",4,10,,"58 MAIN ROAD","SW946ZF","CISSW946ZF058004"
"EX341WU031001","MOHAMMED","PHICCIPS","M",5,10,,"31 PARK ROAD","EX341WU","CISEX341WU031001"
"HR56DE025001","ISAAC","JENKINSON","M",6,10,,"25 VICTORIA ROAD","HR56DE","CISHR56DE025001"
"PO711HX016002","AMELIA","PHILLIPS","F",7,10,,"16 CHURCH ROAD","PO711HX","CISPO711HX016002"
"SW461TY017002","","GRAY","F",7,10,,"17 YORK ROAD","SW461TY","CISSW461TY017002"
"NW45FH013001","DAISY","ADAMS","F",8,10,,"13 KING STREET","NW45FH","CISNW45FH013001"
"NW662NH061002","AMBEV","MUVVAY","F",8,10,,"61 CHURCH ROAD","NW662NH","CISNW662NH061002"
"NW277BX070001","JOSH","WARD","M",10,10,,"70 GRANGE ROAD","NW277BX","CISNW277BX070001"
"DE422HF048004","TOM","CLARK","M",12,10,,"48 MARLBOROUGH ROAD","DE422HF","CISDE422HF048004"
"HR542FY010001","AMBER","ANOERSON","F",13,10,,"10 MILL LANE","HR542FY","CISHR542FY010001"
"SO93JR011003","ISLA","CLARKE","F",13,10,,"11 PARK AVENUE","SO93JR","CISSO93JR011003"
"PO613TJ018001","JAY","GRAHAM","M",15,10,,"18 MANOR ROAD","PO613TJ","CISPO613TJ018001"
"PO61NQ057002","H","PATEL","F",15,10,,"57 STATION ROAD","PO61NQ","CISPO61NQ057002"
"PO711HY046001","KATIE","PRICE","F",16,10,,"46 CHURCH ROAD","PO711HY","CISPO711HY046001"
"M432ZA082002","S","RIGHARDS","F",18,10,,"82 CHURCH ROAD","M432ZA","CISM432ZA082002"
"LS451GP047001","FAITH","ALLEN","F",20,10,,"47 WOODLANDS ROAD","LS451QP","CISLS451GP047001"
"NW817TJ022004","","ANDERSON","M",20,10,,"22 KINGS ROAD","NW817TJ","CISNW817TJ022004"
